LMT,59988113152,42596
LMT,59988199552,42596
ANAT,60694402204,43200
ANAT,60888024000,46800
ANAST,62490481200,50400
ANAT,62506288800,46800
ANAST,62522017200,46800
ANAT,62537828400,43200
ANAST,62553556800,46800
ANAT,62569364400,43200
ANAST,62585179200,46800
ANAT,62600911200,43200
ANAST,62616636000,46800
ANAT,62632360800,43200
ANAST,62648085600,46800
ANAT,62663810400,43200
ANAST,62679535200,46800
ANAT,62695260000,43200
ANAST,62710984800,46800
ANAT,62726709600,43200
ANAST,62742434400,46800
ANAT,62758159200,43200
ANAST,62773884000,46800
ANAT,62790213600,43200
ANAST,62805938400,43200
ANAT,62821666800,39600
ANAT,62831343600,43200
ANAST,62837377200,46800
ANAT,62853098400,43200
ANAST,62868837600,46800
ANAT,62884562400,43200
ANAST,62900287200,46800
ANAT,62916012000,43200
ANAST,62931736800,46800
ANAT,62947461600,43200
ANAST,62963791200,46800
ANAT,62981935200,43200
ANAST,62995240800,46800
ANAT,63013384800,43200
ANAST,63026690400,46800
ANAT,63044834400,43200
ANAST,63058140000,46800
ANAT,63076888800,43200
ANAST,63089589600,46800
ANAT,63108338400,43200
ANAST,63121039200,46800
ANAT,63139788000,43200
ANAST,63153093600,46800
ANAT,63171237600,43200
ANAST,63184543200,46800
ANAT,63202687200,43200
ANAST,63215992800,46800
ANAT,63234741600,43200
ANAST,63247442400,46800
ANAT,63266191200,43200
ANAST,63278892000,46800
ANAT,63297640800,43200
ANAST,63310341600,46800
ANAT,63329090400,43200
ANAST,63342396000,46800
ANAT,63360540000,43200
ANAST,63373845600,46800
ANAT,63391989600,43200
ANAST,63405295200,43200
ANAT,63424047600,39600
ANAT,63436748400,43200
ANAT,64282994047,43200
ANAT,64283080447,43200
