MMT 59988199552000 -13484000
MMT 59988285952000 -13484000
UYT 60568227884000 -12600000
UYHST 60676140600000 -10800000
UYT 60691863600000 -12600000
UYHST 60707676600000 -10800000
UYT 60723399600000 -12600000
UYHST 60739212600000 -10800000
UYT 60754935600000 -12600000
UYHST 60994092600000 -10800000
UYT 61007396400000 -12600000
UYHST 61025542200000 -10800000
UYT 61038846000000 -12600000
UYHST 61056991800000 -10800000
UYT 61070295600000 -12600000
UYHST 61089046200000 -10800000
UYT 61101745200000 -12600000
UYHST 61120495800000 -10800000
UYT 61133194800000 -12600000
UYHST 61151945400000 -10800000
UYT 61164644400000 -12600000
UYHST 61183395000000 -10800000
UYT 61196698800000 -12600000
UYHST 61214844600000 -10800000
UYT 61228148400000 -12600000
UYHST 61238863800000 -10800000
UYT 61252081200000 -12600000
UYST 61282063800000 -7200000
UYT 61289834400000 -10800000
UYST 61800894000000 -7200000
UYT 61816010400000 -10800000
UYST 61821457200000 -7200000
UYT 61825687200000 -10800000
UYST 61985962800000 -7200000
UYT 62001079200000 -10800000
UYST 62017412400000 -7200000
UYT 62035639200000 -10800000
UYST 62048862000000 -7200000
UYT 62067175200000 -10800000
UYHST 62085236400000 -9000000
UYT 62101564200000 -10800000
UYHST 62116772400000 -9000000
UYT 62133100200000 -10800000
UYHST 62148308400000 -9000000
UYT 62164636200000 -10800000
UYST 62208615600000 -7200000
UYT 62218375200000 -10800000
UYHST 62267799600000 -9000000
UYST 62292594600000 -7200000
UYT 62348666400000 -10800000
UYST 62385735600000 -7200000
UYT 62395927200000 -10800000
UYST 62443278000000 -7200000
UYT 62461677600000 -10800000
UYST 62702132400000 -7200000
UYT 62709991200000 -10800000
UYST 62733495600000 -7200000
UYT 62741354400000 -10800000
UYST 62761316400000 -7200000
UYT 62772199200000 -10800000
UYST 62792161200000 -7200000
UYT 62803648800000 -10800000
UYST 62824215600000 -7200000
UYT 62835098400000 -10800000
UYST 62855060400000 -7200000
UYT 62866548000000 -10800000
UYST 63231246000000 -7200000
UYT 63247579200000 -10800000
UYST 63264517200000 -7200000
UYT 63277819200000 -10800000
UYST 63295362000000 -7200000
UYT 63309268800000 -10800000
UYST 63327416400000 -7200000
UYT 63340718400000 -10800000
UYST 63358866000000 -7200000
UYT 63372168000000 -10800000
UYST 63390315600000 -7200000
UYT 63404222400000 -10800000
UYST 63421765200000 -7200000
UYT 63435672000000 -10800000
UYST 63453214800000 -7200000
UYT 63467121600000 -10800000
UYST 63485269200000 -7200000
UYT 63498571200000 -10800000
UYST 63516718800000 -7200000
UYT 63530020800000 -10800000
UYST 63548168400000 -7200000
UYT 63561470400000 -10800000
UYST 63579618000000 -7200000
UYT 63593524800000 -10800000
UYST 63611067600000 -7200000
UYT 63624974400000 -10800000
UYST 63642517200000 -7200000
UYT 63656424000000 -10800000
UYST 63674571600000 -7200000
UYT 63687873600000 -10800000
UYST 63706021200000 -7200000
UYT 63719323200000 -10800000
UYST 63737470800000 -7200000
UYT 63751377600000 -10800000
UYST 63768920400000 -7200000
UYT 63782827200000 -10800000
UYST 63800370000000 -7200000
UYT 63814276800000 -10800000
UYST 63831819600000 -7200000
UYT 63845726400000 -10800000
UYST 63863874000000 -7200000
UYT 63877176000000 -10800000
UYST 63895323600000 -7200000
UYT 63908625600000 -10800000
UYST 63926773200000 -7200000
UYT 63940680000000 -10800000
UYST 63958222800000 -7200000
UYT 63972129600000 -10800000
UYST 63989672400000 -7200000
UYT 64003579200000 -10800000
UYST 64021726800000 -7200000
UYT 64035028800000 -10800000
UYST 64053176400000 -7200000
UYT 64066478400000 -10800000
UYST 64084626000000 -7200000
UYT 64098532800000 -10800000
UYST 64116075600000 -7200000
UYT 64129982400000 -10800000
UYST 64147525200000 -7200000
UYT 64161432000000 -10800000
UYST 64178974800000 -7200000
UYT 64192881600000 -10800000
UYST 64211029200000 -7200000
UYT 64224331200000 -10800000
UYST 64242478800000 -7200000
UYT 64255780800000 -10800000
UYST 64273928400000 -7200000
UYST 64283080447000 -7200000
UYST 64283166847000 -7200000
