LMT,59988113152,-1820
LMT,59988199552,-1820
WET,60362584220,0
WEST,61179235200,3600
WET,61185106800,0
WEST,61193577600,3600
WET,61374409200,0
WEST,61518355200,3600
WET,61530447600,0
WEST,62054164800,3600
WET,62064486000,0
WEST,62276860800,3600
WET,62282818800,0
WEST,62335353600,3600
WET,62343298800,0
WEST,62366889600,3600
WET,62379846000,0
WEST,62401104000,3600
WET,62406630000,0
CET,62583840000,3600
WET,62640514800,0
WEST,63347875200,3600
WET,63355820400,0
WEST,63379411200,3600
WET,63386406000,0
WEST,63408355200,3600
WET,63416818800,0
WEST,63437385600,3600
WET,63447663600,0
WEST,63471261600,3600
WET,63478346400,0
WEST,63481024800,3600
WET,63484567200,0
WEST,63502711200,3600
WET,63508932000,0
WEST,63511524000,3600
WET,63516016800,0
WEST,63534160800,3600
WET,63539604000,0
WEST,63542196000,3600
WET,63547466400,0
WEST,63565610400,3600
WET,63570189600,0
WEST,63572781600,3600
WET,63578916000,0
WEST,63597060000,3600
WET,63600861600,0
WEST,63603453600,3600
WET,63610365600,0
WEST,63629114400,3600
WET,63631447200,0
WEST,63634039200,3600
WET,63641815200,0
WEST,63660564000,3600
WET,63662032800,0
WEST,63664624800,3600
WET,63673869600,0
WEST,63692013600,3600
WET,63692704800,0
WEST,63695296800,3600
WET,63705319200,0
WEST,63725882400,3600
WET,63736768800,0
WEST,63756468000,3600
WET,63768218400,0
WEST,63787140000,3600
WET,63799668000,0
WEST,63818416800,3600
WET,63831117600,0
WEST,63849866400,3600
WET,63863172000,0
WEST,63881316000,3600
WET,63894621600,0
WEST,63912765600,3600
WET,63926071200,0
WEST,63944215200,3600
WET,63957520800,0
WEST,63976269600,3600
WET,63988970400,0
WEST,64007719200,3600
WET,64021024800,0
WEST,64039168800,3600
WET,64052474400,0
WEST,64070618400,3600
WET,64083924000,0
WEST,64102068000,3600
WET,64115373600,0
WEST,64133517600,3600
WET,64146823200,0
WEST,64165572000,3600
WET,64178272800,0
WEST,64197021600,3600
WET,64210327200,0
WEST,64228471200,3600
WET,64241776800,0
WEST,64259920800,3600
WET,64273226400,0
WET,64282994047,0
WET,64283080447,0
